cancer_type,n_mut.SNP_in,n_mut.SNP_out,maf_targeted_seq,SBS1,SBS2,SBS5,SBS7a,SBS7d,SBS8,SBS12,SBS13,SBS16,SBS17a,SBS17b,SBS19,SBS20,SBS21,SBS22,SBS30
Gastric.cancer,26853,4291,NA,100,34,42,0,0,0,121,12,0,0,0,53,0,0,0,71
Gastric.cancer,25164,3962,NA,240,5,0,123,0,0,0,4,127,71,0,59,0,14,91,141
Gastric.cancer,26424,4069,9.30E-03,169,32,0,37,1,0,64,0,59,0,0,70,39,0,35,0
Gastric.cancer,18932,2742,1.40E-03,15,2,0,18,0,0,0,0,15,0,0,2,0,2,1,0
Gastric.cancer,26123,5104,NA,0,35,0,0,0,0,114,0,40,0,0,117,6,0,440,359
Gastric.cancer,23276,3546,NA,14,49,0,0,0,0,0,7,0,0,13,0,0,0,52,9
Gastric.cancer,21553,3149,1.62E-02,0,51,0,0,0,0,53,0,0,0,0,0,16,10,58,0
Gastric.cancer,23102,4893,4.20E-03,0,6,0,0,0,200,0,0,0,0,0,0,72,15,207,29
Gastric.cancer,22156,4616,2.99E-02,0,0,0,0,0,217,0,4,0,0,0,0,47,0,170,0
Gastric.cancer,21040,2893,2.32E-02,0,0,0,0,0,0,0,16,0,0,0,0,0,12,0,37
Gastric.cancer,20309,2746,NA,0,17,0,0,0,0,0,18,0,0,0,0,13,0,4,0
Gastric.cancer,25873,3408,NA,220,82,545,28,0,0,90,36,0,58,7,0,17,33,5,144
Gastric.cancer,21696,2943,NA,0,23,0,19,0,0,0,5,88,0,0,0,0,0,0,25
Gastric.cancer,20486,2860,NA,0,54,0,15,0,0,0,0,0,0,0,0,0,11,21,24
Gastric.cancer,21637,3153,4.50E-03,6,31,0,0,34,0,0,17,10,0,0,23,0,9,55,24
Gastric.cancer,23121,3240,4.21E-02,0,55,0,5,18,0,0,0,0,0,5,0,0,2,2,0
Gastric.cancer,18501,2900,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gastric.cancer,19664,2714,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gastric.cancer,18274,2616,NA,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
Gastric.cancer,21026,3129,1.04E-02,0,0,0,17,0,0,0,0,7,6,0,0,0,0,0,11
Gastric.cancer,22046,3405,NA,47,0,0,71,18,0,0,0,0,0,0,47,0,0,36,6
Gastric.cancer,23850,4222,NA,136,10,39,7,0,0,335,0,32,6,5,47,0,0,4,287
Gastric.cancer,22309,3713,NA,0,12,0,0,0,0,0,3,0,0,0,47,0,0,7,72
Gastric.cancer,15694,2409,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gastric.cancer,18720,2983,NA,0,10,0,0,0,0,0,0,0,0,0,6,0,0,1,12
Gastric.cancer,18084,3041,2.00E-03,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gastric.cancer,19984,3349,4.30E-03,0,23,0,0,0,4,0,26,0,0,0,0,0,0,0,40
Ovarian.Cancer,24303,3673,NA,29,10,0,0,0,0,0,0,11,0,3,84,7,64,35,40
Ovarian.Cancer,24980,4079,NA,29,60,0,0,86,0,1,2,0,0,13,0,0,0,12,0
Ovarian.Cancer,21177,3520,2.90E-03,0,7,0,0,0,0,0,0,0,0,0,0,0,0,31,0
Ovarian.Cancer,25269,3587,4.89E-02,38,40,315,0,47,66,69,0,63,29,0,38,0,0,22,91
Ovarian.Cancer,20874,3642,6.73E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ovarian.Cancer,24123,3812,6.00E-03,0,20,0,0,0,0,0,0,5,0,0,100,0,38,8,32
Ovarian.Cancer,25856,3945,1.24E-02,7,7,0,0,0,0,0,16,20,0,0,54,0,0,72,149
Ovarian.Cancer,22073,3314,NA,0,45,120,0,10,0,61,9,0,7,0,0,0,14,0,96
Ovarian.Cancer,27706,3748,3.70E-03,44,0,51,61,0,24,20,0,21,82,0,0,33,0,64,231
Ovarian.Cancer,26305,3811,NA,135,16,0,60,10,123,75,26,0,14,3,0,0,0,96,68
Ovarian.Cancer,28785,4108,3.20E-02,157,59,0,47,0,80,0,31,81,0,0,67,41,0,55,163
Ovarian.Cancer,25608,3805,0.107,95,51,198,0,0,13,23,0,0,3,0,17,47,0,57,28
Ovarian.Cancer,29392,3844,2.03E-02,247,91,0,0,42,0,283,0,109,0,0,130,30,12,73,157
Ovarian.Cancer,28999,3864,NA,130,46,470,0,91,0,59,0,60,9,0,0,0,0,45,178
Ovarian.Cancer,22425,2901,8.70E-03,0,27,0,0,0,0,0,0,0,0,0,0,0,5,0,20
Ovarian.Cancer,25210,3493,NA,140,66,124,0,46,0,0,0,0,0,0,23,0,16,51,104
Ovarian.Cancer,26530,3471,3.50E-03,169,19,113,0,0,0,5,17,52,0,0,48,0,68,28,123
Ovarian.Cancer,25767,3677,3.54E-02,231,45,0,0,0,0,0,0,258,108,0,103,0,29,0,253
Ovarian.Cancer,23964,3041,1.12E-02,34,0,0,19,39,0,0,0,0,0,2,131,0,0,13,0
Ovarian.Cancer,27184,3893,2.10E-03,177,77,32,0,79,7,102,1,101,28,16,180,9,0,66,241
Ovarian.Cancer,21697,2869,0.1436,0,25,0,0,0,0,0,0,0,2,0,0,0,0,14,7
Ovarian.Cancer,28426,3826,4.90E-03,242,50,0,0,73,0,0,14,59,0,0,39,53,68,0,246
Ovarian.Cancer,22907,3728,1.39E-02,1,5,0,2,0,0,0,0,0,0,0,19,9,0,0,0
Ovarian.Cancer,22317,3098,NA,0,48,0,0,0,0,0,5,0,18,0,0,15,0,0,0
Ovarian.Cancer,20870,2834,NA,0,29,0,0,0,0,0,0,0,1,0,0,3,18,7,0
Ovarian.Cancer,33068,3631,NA,457,32,0,0,0,30,613,0,138,0,29,157,0,63,34,321
Lung.Cancer,23286,3512,NA,131,41,0,18,0,3,0,56,177,17,7,195,0,122,31,137
Lung.Cancer,20535,3036,NA,0,47,0,0,0,0,0,9,0,1,5,0,8,9,0,23
Lung.Cancer,21435,2991,NA,3,31,0,6,0,0,180,0,0,0,0,0,0,0,28,90
Lung.Cancer,30026,4296,NA,470,42,1613,150,54,0,328,11,6,0,0,153,0,0,104,108
Lung.Cancer,24480,3558,NA,131,69,0,0,0,0,108,37,0,33,14,194,0,12,29,133
Lung.Cancer,24936,3458,NA,103,77,0,0,5,0,130,55,86,0,13,0,0,0,0,37
Lung.Cancer,23896,4579,NA,2,16,0,0,0,6,83,0,0,0,2,0,0,0,48,19
Lung.Cancer,21981,4048,NA,0,0,0,0,0,0,15,10,0,0,0,0,0,3,0,0
Lung.Cancer,25927,5184,NA,0,0,0,0,20,0,42,25,0,6,10,0,0,0,0,0
Lung.Cancer,22781,3054,NA,80,0,0,0,29,22,78,12,0,0,13,28,0,8,0,0
Lung.Cancer,24611,3381,NA,91,0,26,0,0,0,133,0,0,0,11,17,23,44,28,15
Lung.Cancer,23153,3353,NA,0,0,0,0,0,34,0,24,39,13,0,0,0,0,0,0
Lung.Cancer,27658,3881,NA,341,64,0,70,0,43,181,0,138,0,5,94,5,0,0,258
Lung.Cancer,24101,3371,NA,0,0,0,0,0,0,0,21,8,26,1,0,0,0,19,25
Lung.Cancer,28064,3671,2.20E-03,226,53,379,0,10,0,38,0,0,35,10,69,0,0,90,229
Lung.Cancer,24309,3576,2.10E-03,75,5,0,69,50,0,0,0,98,0,5,0,44,0,10,8
Lung.Cancer,23617,3347,NA,54,10,0,0,24,7,0,16,60,0,5,0,7,0,1,125
Lung.Cancer,27644,4060,1.30E-03,365,37,11,0,43,0,545,5,42,21,17,188,0,0,37,336
Lung.Cancer,29002,4342,NA,332,39,343,99,0,0,290,0,13,54,0,221,5,0,76,99
Lung.Cancer,25472,3591,NA,137,116,548,0,0,0,89,0,35,0,2,0,0,0,11,198
Lung.Cancer,28058,3810,2.00E-03,296,76,792,0,18,0,112,32,0,42,0,127,0,0,4,0
Lung.Cancer,24786,3570,7.00E-04,10,50,330,0,71,0,116,32,0,18,9,0,33,19,0,96
Lung.Cancer,23357,3400,5.10E-02,0,40,198,0,0,0,0,2,44,111,0,0,0,8,0,88
