Cancer_score,Cancer_Types,Methods
0.68,Gastric cancer,Pointy
0.93,Gastric cancer,Pointy
0.794,Gastric cancer,Pointy
0.852,Gastric cancer,Pointy
0.976,Ovarian Cancer,Pointy
0.79,Ovarian Cancer,Pointy
0.964,Ovarian Cancer,Pointy
0.972,Ovarian Cancer,Pointy
0.968,Ovarian Cancer,Pointy
0.954,Ovarian Cancer,Pointy
0.994,Ovarian Cancer,Pointy
0.95,Ovarian Cancer,Pointy
0.868,Ovarian Cancer,Pointy
0.908,Ovarian Cancer,Pointy
0.972,Ovarian Cancer,Pointy
0.938,Ovarian Cancer,Pointy
0.968,Ovarian Cancer,Pointy
0.988,Ovarian Cancer,Pointy
0.644,Lung Cancer,Pointy
0.916,Lung Cancer,Pointy
0.904,Lung Cancer,Pointy
0.98,Lung Cancer,Pointy
0.9,Lung Cancer,Pointy
0.998,Lung Cancer,Pointy
0.656,Gastric cancer,Pointy
0.972,Gastric cancer,Pointy
0.994,Gastric cancer,Pointy
0.76,Gastric cancer,Pointy
0.898,Gastric cancer,Pointy
0.986,Gastric cancer,Pointy
0.955,Gastric cancer,Pointy
0.978,Gastric cancer,Pointy
0.992,Gastric cancer,Pointy
0.956,Gastric cancer,Pointy
0.784,Gastric cancer,Pointy
0.996,Gastric cancer,Pointy
0.59,Gastric cancer,Pointy
0.098,Gastric cancer,Pointy
0.008,Gastric cancer,Pointy
0.258,Gastric cancer,Pointy
0.203,Gastric cancer,Pointy
0.878,Gastric cancer,Pointy
0.986,Gastric cancer,Pointy
0.962,Gastric cancer,Pointy
0.984,Gastric cancer,Pointy
0.916,Gastric cancer,Pointy
0.98,Gastric cancer,Pointy
0.914,Pancreatic Cancer,Pointy
0.978,Pancreatic Cancer,Pointy
0.944,Pancreatic Cancer,Pointy
0.956,Pancreatic Cancer,Pointy
0.9,Pancreatic Cancer,Pointy
0.842,Pancreatic Cancer,Pointy
0.988,Pancreatic Cancer,Pointy
0.97,Pancreatic Cancer,Pointy
0.902,Pancreatic Cancer,Pointy
0.956,Pancreatic Cancer,Pointy
0.826,Pancreatic Cancer,Pointy
0.956,Pancreatic Cancer,Pointy
0.878,Pancreatic Cancer,Pointy
0.866,Pancreatic Cancer,Pointy
0.895,Pancreatic Cancer,Pointy
0.922,Pancreatic Cancer,Pointy
0.992,Pancreatic Cancer,Pointy
0.998,Pancreatic Cancer,Pointy
0.998,Pancreatic Cancer,Pointy
0.994,Pancreatic Cancer,Pointy
0.962,Pancreatic Cancer,Pointy
0.228,Pancreatic Cancer,Pointy
0.57,Pancreatic Cancer,Pointy
0.028,Pancreatic Cancer,Pointy
0.056,Pancreatic Cancer,Pointy
0.144,Pancreatic Cancer,Pointy
0.108,Pancreatic Cancer,Pointy
0.016,Pancreatic Cancer,Pointy
0.093,Pancreatic Cancer,Pointy
0.196,Pancreatic Cancer,Pointy
0.522,Pancreatic Cancer,Pointy
0.538,Pancreatic Cancer,Pointy
0.608,Pancreatic Cancer,Pointy
0.732,Pancreatic Cancer,Pointy
0.986,Lung Cancer,Pointy
0.9,Lung Cancer,Pointy
0.962,Lung Cancer,Pointy
0.294,Lung Cancer,Pointy
0.398,Lung Cancer,Pointy
0.82,Lung Cancer,Pointy
0.954,Breast Cancer,Pointy
0.911,Breast Cancer,Pointy
0.87,Breast Cancer,Pointy
0.938,Breast Cancer,Pointy
0.83,Breast Cancer,Pointy
0.87,Breast Cancer,Pointy
0.774,Breast Cancer,Pointy
0.76,Colorectal Cancer,Pointy
0.506,Colorectal Cancer,Pointy
0.93,Colorectal Cancer,Pointy
0.612,Colorectal Cancer,Pointy
0.824,Colorectal Cancer,Pointy
0.992,Colorectal Cancer,Pointy
0.936,Colorectal Cancer,Pointy
0.78,Colorectal Cancer,Pointy
0.822,Colorectal Cancer,Pointy
0.566,Colorectal Cancer,Pointy
0.992,Colorectal Cancer,Pointy
0.878,Colorectal Cancer,Pointy
0.57,Colorectal Cancer,Pointy
0.904,Colorectal Cancer,Pointy
0.816,Colorectal Cancer,Pointy
0.622,Colorectal Cancer,Pointy
0.544,Colorectal Cancer,Pointy
0.652,Colorectal Cancer,Pointy
0.874,Colorectal Cancer,Pointy
0.538,Colorectal Cancer,Pointy
0.914,Colorectal Cancer,Pointy
0.924,Colorectal Cancer,Pointy
0.972,Lung Cancer,Pointy
0.966,Lung Cancer,Pointy
