,drug1,drug2,cell,score,label,SynClass
9,5-FU,ABT-888,OV90,-10.06884761,0,0
12,5-FU,ABT-888,SKMEL30,-36.45922958,0,0
14,5-FU,ABT-888,SW837,-14.52310863,0,0
20,5-FU,AZD1775,CAOV3,23.98617954,1,1
26,5-FU,AZD1775,MDAMB436,23.3811342,1,1
27,5-FU,AZD1775,MSTO,-32.99061919,0,0
34,5-FU,AZD1775,SKMES1,33.3532584,1,1
42,5-FU,BEZ-235,LNCAP,55.29129934,1,1
46,5-FU,BEZ-235,NCIH460,20.10041374,1,1
51,5-FU,BEZ-235,SKMEL30,-73.13840165,0,0
52,5-FU,BEZ-235,SKMES1,21.2679035,1,1
54,5-FU,BEZ-235,T47D,106.0071924,1,1
57,5-FU,BORTEZOMIB,A2780,-18.59912622,0,0
60,5-FU,BORTEZOMIB,CAOV3,-35.27304184,0,0
61,5-FU,BORTEZOMIB,ES2,-16.13012533,0,0
63,5-FU,BORTEZOMIB,HT144,-14.56978258,0,0
64,5-FU,BORTEZOMIB,HT29,-15.95161347,0,0
69,5-FU,BORTEZOMIB,MSTO,52.48518972,1,1
70,5-FU,BORTEZOMIB,NCIH1650,-15.77870569,0,0
71,5-FU,BORTEZOMIB,NCIH2122,-16.69626568,0,0
73,5-FU,BORTEZOMIB,NCIH460,-18.99813026,0,0
74,5-FU,BORTEZOMIB,NCIH520,-24.06755091,0,0
76,5-FU,BORTEZOMIB,RPMI7951,-10.47941439,0,0
77,5-FU,BORTEZOMIB,SKMEL30,-172.8887021,0,0
78,5-FU,BORTEZOMIB,SKMES1,-11.64272985,0,0
82,5-FU,BORTEZOMIB,UACC62,-17.84185108,0,0
84,5-FU,BORTEZOMIB,ZR751,-17.45137527,0,0
85,5-FU,DASATINIB,A2058,31.12564418,1,1
86,5-FU,DASATINIB,A2780,50.60366026,1,1
87,5-FU,DASATINIB,A427,28.34808451,1,1
91,5-FU,DASATINIB,HT144,-22.97327812,0,0
93,5-FU,DASATINIB,LOVO,21.38558819,1,1
96,5-FU,DASATINIB,NCIH1650,23.23497071,1,1
