,drug1,drug2,cell,synergy,fold,SynClass
23,5-FU,ABT-888,OV90,-10.06884761,2,0
28,5-FU,ABT-888,SKMEL30,-36.45922958,2,0
32,5-FU,ABT-888,SW837,-14.52310863,2,0
43,5-FU,AZD1775,CAOV3,23.98617954,1,1
54,5-FU,AZD1775,MDAMB436,23.3811342,1,1
55,5-FU,AZD1775,MSTO,-32.99061919,1,0
61,5-FU,AZD1775,OCUBM,33.59292588,1,1
64,5-FU,AZD1775,PA1,25.07262477,1,1
68,5-FU,AZD1775,SKMES1,33.3532584,1,1
74,5-FU,AZD1775,UWB1289,70.15816882,1,1
91,5-FU,BEZ-235,LNCAP,55.29129934,1,1
98,5-FU,BEZ-235,NCIH460,20.10041374,1,1
103,5-FU,BEZ-235,PA1,21.56238672,1,1
106,5-FU,BEZ-235,SKMEL30,-73.13840165,1,0
107,5-FU,BEZ-235,SKMES1,21.2679035,1,1
111,5-FU,BEZ-235,T47D,106.0071924,1,1
118,5-FU,BORTEZOMIB,A2780,-18.59912622,2,0
121,5-FU,BORTEZOMIB,CAOV3,-35.27304184,2,0
122,5-FU,BORTEZOMIB,COLO320DM,-10.97044616,2,0
125,5-FU,BORTEZOMIB,ES2,-16.13012533,2,0
127,5-FU,BORTEZOMIB,HT144,-14.56978258,2,0
128,5-FU,BORTEZOMIB,HT29,-15.95161347,2,0
133,5-FU,BORTEZOMIB,MSTO,52.48518972,2,1
134,5-FU,BORTEZOMIB,NCIH1650,-15.77870569,2,0
135,5-FU,BORTEZOMIB,NCIH2122,-16.69626568,2,0
137,5-FU,BORTEZOMIB,NCIH460,-18.99813026,2,0
138,5-FU,BORTEZOMIB,NCIH520,-24.06755091,2,0
142,5-FU,BORTEZOMIB,PA1,-20.70616808,2,0
144,5-FU,BORTEZOMIB,RPMI7951,-10.47941439,2,0
145,5-FU,BORTEZOMIB,SKMEL30,-172.8887021,2,0
146,5-FU,BORTEZOMIB,SKMES1,-11.64272985,2,0
151,5-FU,BORTEZOMIB,UACC62,-17.84185108,2,0
152,5-FU,BORTEZOMIB,UWB1289,-15.03075018,2,0
155,5-FU,BORTEZOMIB,ZR751,-17.45137527,2,0
156,5-FU,DASATINIB,A2058,31.12564418,1,1
157,5-FU,DASATINIB,A2780,50.60366026,1,1
159,5-FU,DASATINIB,A427,28.34808451,1,1
162,5-FU,DASATINIB,DLD1,21.43309088,1,1
166,5-FU,DASATINIB,HT144,-22.97327812,1,0
170,5-FU,DASATINIB,LOVO,21.38558819,1,1
173,5-FU,DASATINIB,NCIH1650,23.23497071,1,1
174,5-FU,DASATINIB,NCIH2122,-31.1947196,1,0
176,5-FU,DASATINIB,NCIH460,21.6687261,1,1
177,5-FU,DASATINIB,NCIH520,42.73505144,1,1
180,5-FU,DASATINIB,OVCAR3,57.03314711,1,1
181,5-FU,DASATINIB,PA1,33.90828352,1,1
187,5-FU,DASATINIB,SW620,30.44463084,1,1
193,5-FU,DASATINIB,VCAP,21.45572644,1,1
199,5-FU,DINACICLIB,CAOV3,-14.34742589,0,0
209,5-FU,DINACICLIB,LOVO,-11.87695993,0,0
223,5-FU,DINACICLIB,SKMEL30,-96.61714003,0,0
225,5-FU,DINACICLIB,SKOV3,-13.89910152,0,0
227,5-FU,DINACICLIB,SW837,-19.57332293,0,0
233,5-FU,DINACICLIB,ZR751,-13.58239014,0,0
239,5-FU,ERLOTINIB,COLO320DM,22.16797341,3,1
250,5-FU,ERLOTINIB,MSTO,-45.89376066,3,0
