,drug1,drug2,cell,synergy,fold,SynClass
2,5-FU,ABT-888,A375,-1.198505438,2,0
4,5-FU,ABT-888,CAOV3,-5.139971221,2,0
7,5-FU,ABT-888,EFM192B,-5.089852856,2,0
10,5-FU,ABT-888,HT144,-3.701354746,2,0
11,5-FU,ABT-888,HT29,10.17343391,2,1
14,5-FU,ABT-888,LOVO,-8.979213946,2,0
16,5-FU,ABT-888,MSTO,-1.793073865,2,0
17,5-FU,ABT-888,NCIH1650,-5.996370296,2,0
19,5-FU,ABT-888,NCIH23,-5.042652306,2,0
20,5-FU,ABT-888,NCIH460,-6.611947917,2,0
23,5-FU,ABT-888,OV90,-10.06884761,2,0
24,5-FU,ABT-888,OVCAR3,17.63703287,2,1
26,5-FU,ABT-888,RKO,-2.677587786,2,0
27,5-FU,ABT-888,RPMI7951,-2.17322193,2,0
28,5-FU,ABT-888,SKMEL30,-36.45922958,2,0
29,5-FU,ABT-888,SKMES1,-0.086424579,2,0
32,5-FU,ABT-888,SW837,-14.52310863,2,0
33,5-FU,ABT-888,T47D,17.48579545,2,1
34,5-FU,ABT-888,UACC62,-1.583963783,2,0
35,5-FU,ABT-888,UWB1289,12.19479741,2,1
38,5-FU,ABT-888,ZR751,-8.675317044,2,0
39,5-FU,AZD1775,A2058,13.05268744,1,1
40,5-FU,AZD1775,A2780,11.27727295,1,1
43,5-FU,AZD1775,CAOV3,23.98617954,1,1
47,5-FU,AZD1775,ES2,10.05752609,1,1
48,5-FU,AZD1775,HCT116,13.96127138,1,1
50,5-FU,AZD1775,HT29,-2.712205241,1,0
51,5-FU,AZD1775,KPL1,-2.061161349,1,0
53,5-FU,AZD1775,LOVO,-4.001507328,1,0
54,5-FU,AZD1775,MDAMB436,23.3811342,1,1
55,5-FU,AZD1775,MSTO,-32.99061919,1,0
56,5-FU,AZD1775,NCIH1650,10.77339767,1,1
58,5-FU,AZD1775,NCIH23,-7.115899185,1,0
59,5-FU,AZD1775,NCIH460,13.58269769,1,1
61,5-FU,AZD1775,OCUBM,33.59292588,1,1
62,5-FU,AZD1775,OV90,-3.193651947,1,0
63,5-FU,AZD1775,OVCAR3,12.23369196,1,1
64,5-FU,AZD1775,PA1,25.07262477,1,1
65,5-FU,AZD1775,RKO,19.33320151,1,1
66,5-FU,AZD1775,RPMI7951,16.72201512,1,1
68,5-FU,AZD1775,SKMES1,33.3532584,1,1
69,5-FU,AZD1775,SKOV3,18.74496394,1,1
72,5-FU,AZD1775,T47D,10.0383629,1,1
73,5-FU,AZD1775,UACC62,11.45935053,1,1
74,5-FU,AZD1775,UWB1289,70.15816882,1,1
76,5-FU,AZD1775,VCAP,-0.998327533,1,0
78,5-FU,BEZ-235,A2058,13.6791116,1,1
83,5-FU,BEZ-235,COLO320DM,15.62814774,1,1
84,5-FU,BEZ-235,DLD1,13.03557875,1,1
89,5-FU,BEZ-235,HT29,11.89580272,1,1
90,5-FU,BEZ-235,KPL1,16.46284909,1,1
91,5-FU,BEZ-235,LNCAP,55.29129934,1,1
93,5-FU,BEZ-235,MDAMB436,18.97429236,1,1
94,5-FU,BEZ-235,MSTO,-8.321116212,1,0
95,5-FU,BEZ-235,NCIH1650,17.63815521,1,1
98,5-FU,BEZ-235,NCIH460,20.10041374,1,1
99,5-FU,BEZ-235,NCIH520,16.72179723,1,1
100,5-FU,BEZ-235,OCUBM,16.38805559,1,1
101,5-FU,BEZ-235,OV90,17.54707857,1,1
102,5-FU,BEZ-235,OVCAR3,17.11961235,1,1
103,5-FU,BEZ-235,PA1,21.56238672,1,1
104,5-FU,BEZ-235,RKO,16.93600135,1,1
105,5-FU,BEZ-235,RPMI7951,12.70594985,1,1
106,5-FU,BEZ-235,SKMEL30,-73.13840165,1,0
107,5-FU,BEZ-235,SKMES1,21.2679035,1,1
109,5-FU,BEZ-235,SW620,12.02859024,1,1
111,5-FU,BEZ-235,T47D,106.0071924,1,1
113,5-FU,BEZ-235,UWB1289,17.06378033,1,1
114,5-FU,BEZ-235,UWB1289BRCA1,18.86503859,1,1
115,5-FU,BEZ-235,VCAP,11.75742482,1,1
117,5-FU,BORTEZOMIB,A2058,-5.239878448,2,0
118,5-FU,BORTEZOMIB,A2780,-18.59912622,2,0
119,5-FU,BORTEZOMIB,A375,-2.405334783,2,0
120,5-FU,BORTEZOMIB,A427,-7.87670815,2,0
121,5-FU,BORTEZOMIB,CAOV3,-35.27304184,2,0
122,5-FU,BORTEZOMIB,COLO320DM,-10.97044616,2,0
124,5-FU,BORTEZOMIB,EFM192B,-8.35611103,2,0
125,5-FU,BORTEZOMIB,ES2,-16.13012533,2,0
126,5-FU,BORTEZOMIB,HCT116,-4.51926945,2,0
127,5-FU,BORTEZOMIB,HT144,-14.56978258,2,0
128,5-FU,BORTEZOMIB,HT29,-15.95161347,2,0
129,5-FU,BORTEZOMIB,KPL1,-2.997532726,2,0
130,5-FU,BORTEZOMIB,LNCAP,-1.855232481,2,0
131,5-FU,BORTEZOMIB,LOVO,-6.175982009,2,0
132,5-FU,BORTEZOMIB,MDAMB436,-2.025565761,2,0
133,5-FU,BORTEZOMIB,MSTO,52.48518972,2,1
134,5-FU,BORTEZOMIB,NCIH1650,-15.77870569,2,0
135,5-FU,BORTEZOMIB,NCIH2122,-16.69626568,2,0
136,5-FU,BORTEZOMIB,NCIH23,-9.190964586,2,0
137,5-FU,BORTEZOMIB,NCIH460,-18.99813026,2,0
138,5-FU,BORTEZOMIB,NCIH520,-24.06755091,2,0
139,5-FU,BORTEZOMIB,OCUBM,-7.508624839,2,0
140,5-FU,BORTEZOMIB,OV90,-9.586166869,2,0
141,5-FU,BORTEZOMIB,OVCAR3,-9.895036465,2,0
142,5-FU,BORTEZOMIB,PA1,-20.70616808,2,0
144,5-FU,BORTEZOMIB,RPMI7951,-10.47941439,2,0
145,5-FU,BORTEZOMIB,SKMEL30,-172.8887021,2,0
