Method,AUC-ROC,ACC,AUC-PR,Precision ,Recall,F1,
MACSynDCRP,0.972,0.921,0.971,0.919,0.926,0.922,
w. pm. CNN,0.962,0.906,0.959,0.908,0.904,0.9058,
w.o. drm. VAE,0.961,0.904,0.959,0.902,0.906,0.9035,
w.o. CNV modality,0.958,0.902,0.956,0.903,0.900,0.9011,
w.o. GEx modality,0.959,0.901,0.959,0.903,0.899,0.9009,
w.o. DESC modality,0.962,0.900,0.961,0.901,0.900,0.9,
w.o. Mutation modality,0.960,0.899,0.958,0.895,0.904,0.8993,
w.o. Proteomics modality,0.958,0.899,0.955,0.898,0.899,0.8984,
w. pm. DNN,0.959,0.898,0.957,0.900,0.897,0.898,
w.o. FP,0.956,0.898,0.953,0.896,0.899,0.8974,
w.o. DTI modality,0.957,0.895,0.956,0.892,0.898,0.895,
w.o. DMG modality,0.955,0.893,0.952,0.891,0.894,0.8925,
w.o. LMGTN,0.954,0.892,0.950,0.912,0.890,0.8914,
w.o. DMG_DDI_GEX modality,0.951,0.884,0.949,0.889,0.877,0.883,
w. pm. RF,0.949,0.876,0.9452,0.875,0.878,0.8762,
w.o. Ensemble,0.896,0.813,0.896,0.814,0.809,0.8113,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,, 
