Methods,AUC-ROC,AUC-PR,ACC,BACC,Precision ,Recall,Kappa,F1
MACSynDCRP ,0.997,0.997,0.951,0.952,0.915,0.992,0.902,0.952
DualSyn,0.670,0.830,0.680,0.630,0.800,0.730,0.250,0.760
DeepDDS,0.660,0.820,0.640,0.620,0.800,0.670,0.210,0.720
GraphSynergy,0.610,0.800,0.530,0.550,0.760,0.450,0.090,0.630
DFFNDDS,0.640,0.820,0.660,0.560,0.750,0.660,0.120,0.700
MFSynDCP,0.715,0.850,0.740,0.640,0.831,0.690,0.210,0.660
MAGE-DC,0.670,0.830,0.720,0.710,0.790,0.650,0.180,
SDCNet,0.650,0.815,0.690,0.680,0.785,0.635,0.160,
DeepSynergy,0.651,0.810,0.650,0.690,0.720,0.610,0.150,0.660
PRODeepSyn,0.640,0.820,0.680,0.520,0.760,0.620,0.120,
RF,0.640,0.830,0.650,0.660,0.721,0.520,0.100,0.590
SVM,0.570,0.800,0.550,0.610,0.740,0.420,0.060,
MLP,0.560,0.720,0.490,0.530,0.760,0.410,0.050,
GBM,0.530,0.740,0.740,0.510,0.720,0.430,-0.020,0.520
XGBoost,0.510,0.750,0.540,0.480,0.700,0.540,-0.040,0.490
AdaBoost,0.440,0.670,0.270,0.500,0.690,0.300,-0.050,
