sample_id,probability
3,1
4,1
5,0
9,1
16,0
34,1
54,1
55,0
64,1
66,0
77,1
94,1
98,1
114,0
116,0
117,1
119,0
125,0
126,0
127,0
130,0
133,0
137,0
143,0
146,0
154,1
160,1
161,1
164,1
189,1
190,1
197,0
200,0
201,0
202,0
206,0
223,1
224,1
225,1
232,1
235,1
241,0
242,0
249,0
253,0
255,0
260,1
262,0
280,0
285,0
301,0
302,0
320,0
327,0
335,1
337,0
341,0
345,0
357,1
362,1
364,1
375,1
379,1
384,1
385,1
388,1
391,1
395,1
404,1
412,1
417,1
419,1
455,1
466,1
467,1
470,1
474,1
477,1
488,1
492,1
499,1
502,1
504,1
510,1
512,0
513,0
523,1
524,1
525,1
536,1
537,0
539,1
559,0
562,0
563,0
569,0
574,0
580,0
595,0
600,0
603,0
606,0
608,0
616,1
623,0
635,0
638,0
645,0
646,0
659,0
663,0
666,0
667,0
671,0
673,0
675,0
688,0
698,0
699,0
709,0
713,0
716,0
717,0
722,0
723,0
728,0
732,1
740,1
753,1
760,0
766,0
768,0
769,0
770,0
774,0
775,0
784,0
793,1
797,1
804,0
814,0
815,0
822,0
823,0
825,0
827,0
830,0
832,0
846,0
851,0
853,0
854,0
860,0
863,0
870,0
872,0
876,0
878,0
894,1
895,1
899,1
901,1
914,1
918,0
919,1
922,0
924,0
928,1
943,0
946,0
950,0
951,0
953,0
954,0
956,0
959,0
966,0
971,0
975,0
980,0
984,0
989,0
991,0
992,0
995,0
1012,1
1015,1
1016,0
1021,0
1028,0
1045,0
1059,0
1060,0
1062,0
1063,0
1065,1
1066,0
1069,0
1076,1
1077,1
1081,0
1082,0
1118,0
1120,0
1122,0
1139,1
1141,1
1145,1
1147,1
1148,1
1150,0
1154,1
1155,1
1156,1
1160,1
1166,1
1167,1
1169,1
1184,1
1191,1
1202,1
1205,1
1214,0
1217,1
1218,1
1243,1
1248,1
1250,1
1252,1
1254,1
1256,1
1267,1
1275,1
1276,1
1279,0
1282,0
1291,0
1296,0
1300,1
1306,1
1308,1
1311,1
1312,1
1314,1
1318,1
1324,1
1329,1
1331,1
1332,1
1342,1
1348,0
1353,1
1358,0
1363,0
1365,0
1369,0
1384,1
1388,1
1396,0
1409,1
1445,0
1460,0
1470,0
1478,0
1481,0
1484,1
1493,1
1495,1
1500,0
1516,1
1527,1
1528,1
1529,1
1531,1
1540,0
1542,0
1555,1
1568,0
1570,0
1571,0
1573,0
1574,0
1581,1
1585,0
1597,0
1603,1
1604,1
1605,1
1619,0
1625,0
1631,0
1633,0
1635,0
1636,1
1639,1
1645,1
1646,0
1648,1
1663,1
1664,1
1668,0
1673,0
1678,0
1679,0
1680,0
1682,0
1685,0
1686,0
1687,0
1693,0
1696,0
1707,1
1715,1
1719,1
1722,0
1724,0
1733,0
1734,0
1753,1
1757,1
1759,1
1761,0
1792,0
1794,0
1802,0
1806,0
1810,0
1816,0
1819,1
1823,1
1824,1
1827,0
1828,0
1834,1
1838,1
1841,1
1843,1
1848,1
1852,1
1853,1
1854,1
