sample_id,probability
12,1
15,1
29,0
30,0
43,1
44,1
45,1
47,1
51,0
57,1
59,1
63,1
70,0
71,0
75,1
76,1
81,1
90,0
92,1
102,1
107,1
108,1
109,0
110,0
113,0
122,0
124,0
135,0
142,0
144,0
151,1
178,0
183,0
184,0
188,1
192,1
196,0
203,0
209,0
210,0
216,0
219,1
221,1
227,1
229,1
238,1
240,0
252,0
254,1
259,0
267,1
268,1
272,1
279,0
287,1
288,0
290,0
291,0
292,0
293,0
295,0
297,0
298,0
303,1
304,1
307,1
325,0
333,1
336,0
344,0
347,1
350,1
371,1
376,1
380,1
387,1
410,1
411,1
415,1
416,1
420,1
421,1
422,0
426,0
428,0
430,0
432,0
434,1
438,1
439,1
443,1
446,0
449,0
452,0
462,1
471,1
479,1
485,0
497,1
498,1
501,1
505,1
506,1
507,1
527,1
528,1
531,1
553,0
555,0
558,0
564,0
565,1
570,0
577,0
582,0
584,0
589,0
598,0
599,0
604,0
605,0
607,0
613,0
626,0
627,0
633,0
636,0
637,0
640,0
652,0
653,0
654,0
655,0
657,0
662,0
665,0
670,0
672,0
677,0
678,0
691,0
705,0
718,0
720,0
721,0
724,0
730,0
731,0
746,1
751,1
755,1
757,1
765,0
776,0
779,0
782,0
783,0
787,1
790,1
799,1
803,0
805,0
807,0
808,0
809,0
810,0
829,0
831,0
834,0
837,0
844,0
847,0
848,0
857,1
861,0
864,1
880,0
896,1
897,1
898,0
903,1
904,1
907,1
911,1
912,1
915,0
925,0
926,0
931,0
940,0
941,0
944,0
947,0
952,0
958,0
964,0
967,0
969,0
977,0
978,0
981,0
990,0
1001,0
1003,1
1032,0
1036,1
1049,0
1051,0
1052,0
1071,0
1073,0
1083,0
1086,0
1092,0
1093,0
1094,0
1095,1
1096,1
1101,1
1108,0
1109,1
1112,1
1114,0
1117,0
1119,0
1121,0
1126,0
1158,1
1161,1
1170,1
1173,1
1183,1
1186,1
1192,1
1194,1
1195,1
1201,0
1204,1
1209,1
1210,1
1212,1
1219,1
1220,1
1222,1
1223,1
1224,0
1225,1
1226,1
1230,0
1231,1
1234,1
1235,1
1251,1
1255,1
1258,1
1260,1
1268,1
1272,1
1278,1
1288,0
1292,1
1294,0
1298,1
1305,1
1310,1
1319,1
1338,1
1340,1
1344,1
1345,1
1350,1
1351,1
1354,0
1357,1
1359,0
1360,0
1362,0
1366,0
1371,0
1379,1
1397,0
1398,0
1411,0
1416,0
1423,1
1433,0
1436,0
1443,0
1446,0
1448,0
1456,0
1464,0
1468,0
1469,0
1471,0
1477,0
1482,1
1485,0
1490,1
1496,0
1498,0
1499,0
1504,1
1505,0
1512,0
1513,0
1520,1
1530,1
1532,0
1536,0
1539,0
1543,1
1550,0
1553,0
1557,0
1563,0
1564,0
1565,0
1580,0
1582,1
1586,0
1590,1
1599,1
1600,0
1609,1
1611,1
1612,1
1614,0
1620,0
1621,0
1630,0
1652,1
1654,1
1657,0
1666,1
1675,0
1683,0
1684,0
1694,0
1695,0
1699,1
1702,1
1710,1
1720,1
1736,0
1738,0
1741,0
1743,0
1745,0
1747,1
1748,1
1754,1
1755,1
1756,1
1760,1
1769,1
1770,0
1773,0
1775,1
1780,0
1788,0
1789,0
1791,0
1795,0
1801,0
1805,0
1807,0
1808,0
1820,0
1825,0
1830,0
1831,0
1833,1
1851,1
1859,1
1860,1
1874,0
1876,1
1879,0
1881,0
1891,1
1892,1
1902,1
1921,1
1934,1
1935,1
1951,1
1952,1
1956,1
1961,1
1963,1
1971,1
1973,1
1983,0
2004,0
2022,1
2042,1
2045,1
2053,1
2057,1
2063,1
2072,0
2077,1
2087,1
2091,1
2095,1
2098,1
2103,0
2104,0
2110,0
2117,0
2119,0
2126,1
2127,1
2138,1
2153,0
2154,0
2155,1
2163,0
2167,1
2168,1
2177,1
2178,1
2181,1
2182,1
2184,1
2185,0
2189,0
2191,0
2197,1
2199,1
2202,1
2206,1
2215,1
2221,1
2223,0
2228,1
2231,1
2232,1
2239,1
2248,1
2249,0
2251,0
2252,1
2254,1
2258,1
2268,1
2271,1
2275,1
2276,1
2283,1
2284,1
2291,1
2299,1
2301,1
2304,1
2306,1
2310,0
2316,0
2317,0
2318,0
2323,0
2333,0
2339,0
2347,1
2348,1
2351,1
2357,1
2364,1
2370,0
2377,0
2387,1
2392,0
2398,0
2405,0
2410,0
2413,0
2415,0
2417,1
2431,0
2432,0
2440,0
2441,1
2446,0
2447,0
2453,1
2463,1
2470,0
2477,0
2481,1
2486,1
2488,1
2492,1
2495,0
2505,0
2509,1
2526,0
2533,0
2534,1
2548,1
2550,1
2561,1
2569,1
2570,1
2575,0
2579,0
2580,0
2582,0
2588,0
2609,1
2614,1
2615,1
2617,1
2618,1
2620,1
2622,1
2623,1
2627,1
2629,1
2638,1
2646,0
2647,0
2648,0
2654,1
2666,1
2669,1
2676,1
2678,0
2684,1
2687,1
2689,1
2692,1
2697,0
2698,1
2705,1
2706,1
2707,1
2715,0
2726,1
2728,1
2732,1
2741,1
2742,1
2746,1
2750,1
2753,1
2758,0
2759,1
2770,0
2771,1
2781,1
2794,1
2795,1
2799,1
2805,0
2809,0
2812,1
2820,1
2821,1
2826,1
2829,0
2842,1
2845,1
2846,1
2850,1
2855,0
2860,1
2862,1
2864,1
2865,0
2867,0
2874,1
2877,1
2879,1
2881,1
2885,1
2887,1
2890,1
2892,1
2897,1
2899,1
2903,1
2913,0
2917,1
2918,1
2921,1
2922,1
2929,1
2934,1
2937,1
2952,1
2954,1
2966,0
2968,0
2970,1
2973,1
2977,1
2984,1
2986,1
2995,1
3001,1
3003,1
3007,0
3012,1
3017,0
3018,1
3021,0
3024,1
3025,1
3026,1
3027,1
3032,1
3034,1
3044,1
3047,1
3049,1
3050,1
3053,1
3065,0
3070,0
3071,0
3076,0
3080,0
3082,0
3085,0
3089,1
3094,1
3098,1
3101,1
3107,1
3113,1
3114,1
3121,0
3123,1
3125,1
3127,1
3128,1
3135,0
3142,1
3151,0
3154,0
3159,1
3163,1
3164,1
3165,1
3169,0
3172,1
3184,0
3185,0
3204,1
3206,1
3210,0
3213,1
3221,0
3245,1
3248,1
3254,0
3257,0
3260,0
3262,0
3263,1
3268,0
3286,0
3289,0
3290,0
3298,0
3303,0
3307,0
3315,0
3316,0
3317,1
3332,0
3333,0
3334,0
3340,0
3341,0
3353,0
3355,0
3357,0
3358,0
3377,0
3378,0
3381,0
3382,0
3393,0
3399,0
3405,0
3418,0
3422,0
3424,0
3429,0
3434,0
3437,0
3439,0
3469,0
3470,0
3475,0
3478,0
3481,0
3484,0
3487,0
3497,0
3501,0
3504,0
3505,0
3513,0
3515,0
3518,0
3520,0
3532,0
3534,0
3535,0
3538,0
3543,0
3545,0
3550,0
3554,0
3555,0
3558,0
3571,0
3590,0
3601,0
3614,0
3617,0
3620,0
3621,0
3626,0
3646,0
3647,0
3653,0
3658,0
3660,0
3662,1
3664,1
3692,0
3698,0
3706,0
3708,0
3710,0
3731,1
3733,0
3742,0
3751,0
3755,0
3757,0
3773,0
3774,0
3779,0
3780,0
3782,0
3787,0
3794,0
3795,0
3801,0
3803,0
3806,0
3816,1
3821,1
3826,1
3827,1
3838,0
3849,1
3852,1
3856,1
3857,1
3862,1
3886,0
3889,0
3898,0
3905,0
3908,0
3912,0
3918,0
3921,0
3929,0
3933,1
3934,1
3936,1
3937,1
3939,1
3942,1
3944,1
3951,1
3960,1
3968,1
3971,1
3978,0
3980,0
3982,1
3984,0
3985,0
3989,0
3997,1
4004,1
4010,0
4011,1
4019,1
4024,1
4035,1
4048,1
4053,1
4054,1
4059,0
4075,1
4078,1
4080,1
4084,1
4085,1
4101,0
4104,0
4105,0
4110,0
4126,1
4129,1
4141,1
4151,1
4157,1
4162,1
4165,1
4168,1
4173,1
4174,1
4190,1
4192,1
4201,1
4207,1
4216,0
4229,1
4230,1
4240,1
4241,1
4245,0
4246,0
4251,0
4257,0
4264,1
4267,0
4275,0
4280,1
4284,0
4287,1
4288,1
4290,1
4296,1
4299,1
4302,0
4303,0
4306,0
4313,0
4314,1
4317,0
4323,1
4331,1
4334,1
4335,1
4336,1
