sample_id,probability
6,1
18,0
24,0
25,0
32,0
39,1
49,0
52,0
62,1
67,0
68,0
82,1
83,0
85,0
86,0
99,1
103,1
104,1
111,1
112,1
115,1
118,1
120,0
123,0
134,0
136,0
138,0
139,0
141,0
150,1
152,1
155,1
159,1
166,1
170,1
173,0
174,0
175,1
180,0
182,0
187,1
191,1
193,1
194,0
195,0
205,0
211,0
212,0
214,0
218,1
220,1
234,1
246,0
256,0
258,0
264,1
266,1
270,1
274,1
276,1
278,1
283,0
289,0
299,0
300,0
305,1
309,1
312,1
314,1
326,0
330,0
331,0
342,0
348,1
355,1
356,1
358,1
360,1
366,1
368,1
382,1
383,1
386,1
389,1
396,1
397,1
402,1
413,1
423,0
433,1
436,1
442,1
450,0
451,0
459,1
461,1
463,1
480,1
483,1
484,0
489,0
490,1
493,1
494,1
495,1
508,1
516,0
517,0
540,0
551,0
557,0
566,0
567,0
568,0
578,0
579,0
587,0
594,0
596,0
602,0
612,0
615,1
617,1
618,0
621,1
639,0
643,0
644,0
648,0
650,0
656,0
658,0
660,0
664,0
668,0
669,0
674,1
679,0
680,0
684,0
687,0
690,0
695,0
700,0
708,0
719,0
725,0
727,1
729,0
739,1
741,1
744,1
745,1
758,1
759,0
771,0
777,0
785,1
796,0
801,1
802,1
816,0
817,0
818,1
820,0
839,0
841,0
843,0
859,0
862,1
868,1
869,1
871,1
873,0
883,0
887,0
888,0
890,0
909,1
910,1
923,1
929,0
930,1
942,0
945,0
948,0
949,0
972,0
973,0
976,0
979,0
985,0
993,0
998,0
999,0
1006,1
1023,0
1029,0
1030,1
1054,0
1064,0
1068,0
1070,0
1085,1
1088,0
1089,0
1099,1
1102,1
1104,1
1105,1
1106,0
1110,0
1111,0
1113,1
1116,0
1127,0
1130,0
1134,1
1135,1
1137,0
1138,1
1140,1
1143,1
1151,0
1152,0
1157,1
1159,1
1162,1
1164,1
1178,1
1185,1
1187,1
1189,1
1196,1
1200,1
1207,1
1211,1
1213,1
1216,1
1227,1
1228,0
1233,1
1236,1
1237,1
1238,1
1257,1
1264,1
1270,1
1271,1
1289,0
1293,0
1299,1
1303,1
1309,1
1325,1
1334,1
1336,1
1337,1
1349,0
1356,1
1361,0
1377,1
1378,1
1381,1
1391,1
1392,1
1395,1
1399,0
1401,1
1413,1
1415,1
1417,0
1424,0
1427,0
1432,0
1434,0
1437,1
1444,1
1447,0
1455,0
1457,0
1461,0
1472,1
1473,0
1474,1
1476,0
1479,0
1491,1
1492,1
1497,1
1503,0
1506,0
1510,0
1519,1
1522,1
1526,1
1534,0
1538,1
1541,1
1548,1
1551,0
1552,0
1556,1
1572,0
1583,1
1587,0
1588,0
1589,0
1592,0
1594,0
1598,0
1602,1
1610,1
1626,0
1627,0
1628,0
1629,0
1642,1
1644,1
1647,1
1658,0
1659,0
1661,0
1676,0
1688,0
1691,0
1697,0
1698,0
1700,1
1705,1
1714,1
1717,1
1723,0
1751,1
1752,1
1767,1
1772,0
1774,0
1776,1
1777,1
1779,0
1781,0
1787,0
1800,0
1812,0
1813,0
1815,0
1818,0
1821,1
1822,1
1829,0
1837,1
1842,1
1846,1
1847,1
1849,1
1866,1
1873,0
1877,1
1878,0
1889,1
1890,1
1896,1
1898,1
1903,1
1904,1
1907,1
1909,1
1910,1
1911,1
1923,1
1924,1
1932,1
1936,1
1937,1
1942,1
1943,1
1946,1
1948,1
1957,1
1962,1
1967,1
1987,0
1988,0
1995,0
1999,0
2001,0
2005,1
2006,1
2007,1
2008,1
2011,1
2015,1
2016,1
2019,1
2021,1
2025,1
2028,1
2052,1
2059,1
2067,1
2068,1
2073,1
2078,1
2086,1
2092,1
2093,0
2099,1
2100,0
2101,1
2121,0
2123,1
2135,1
2140,1
2144,1
2145,0
2146,0
2170,1
2172,1
2174,1
2176,1
2186,0
2187,0
2194,1
2195,1
2201,0
2207,1
2209,1
2211,1
2213,1
2217,1
2218,1
2220,1
2222,1
2224,1
2235,1
2236,1
2238,0
2240,0
2242,0
2244,1
2246,0
2250,0
2257,1
2259,1
2267,1
2269,1
2277,1
2282,1
2285,1
2292,1
2295,1
2305,1
2307,1
2308,1
2309,1
2311,0
2313,0
2314,0
2315,0
2319,0
2321,0
2329,1
2330,0
2331,1
2341,1
2342,1
2346,1
2350,1
2358,1
2366,1
2367,1
2369,0
2374,0
2378,0
2379,0
2380,0
2384,1
2394,1
2395,0
2400,0
2409,0
2414,0
2416,0
2420,0
2422,1
2429,0
2434,1
2437,0
2438,0
2450,1
2451,1
2456,1
2459,1
2467,0
2480,1
2483,1
2497,0
2500,0
2503,0
2512,0
2518,0
2525,0
2527,1
2535,0
2536,1
2552,1
2554,1
2559,1
2566,1
2584,0
2587,0
2591,0
2594,0
2596,0
2600,0
2602,1
2606,1
2607,1
2611,1
2633,1
2640,0
2642,0
2652,1
2655,1
2658,1
2668,1
2670,1
2671,1
2677,1
2686,1
2694,1
2696,1
2700,0
2702,1
2704,1
2714,1
2721,0
2723,1
2727,1
2749,1
2754,1
2763,1
2765,1
2767,1
2775,1
2776,1
2780,1
2784,1
2787,1
2788,1
2792,1
2798,1
2801,1
2803,0
2804,0
2819,1
2822,1
2828,0
2834,1
2841,0
2843,1
2857,1
2873,1
2876,1
2880,1
2883,1
2893,1
2895,1
2900,1
2905,1
2907,1
2909,1
2910,1
2915,0
2916,0
2924,1
2940,1
2942,1
2949,1
2951,1
2972,1
2980,1
2981,1
2985,1
2998,1
3008,1
3010,1
3013,1
3035,1
3058,1
3063,0
3064,0
3066,0
3074,0
3075,0
3090,1
3096,1
3100,1
3109,1
3112,1
3116,1
3119,1
3129,1
3130,1
3134,1
3150,0
3153,0
3158,1
3161,1
3162,1
3166,0
3167,0
3168,0
3189,0
3195,0
3197,0
3198,0
3200,1
3208,0
3209,0
3211,0
3214,0
3218,0
3220,0
3226,0
3227,0
3235,1
3237,0
3240,0
3247,1
3250,0
3252,0
3256,1
3258,0
3264,0
3265,0
3269,0
3270,0
3275,0
3276,0
3277,0
3285,0
3299,0
3306,0
3308,0
3311,0
3313,0
3318,0
3319,0
3321,0
3323,0
3326,0
3336,0
3337,0
3339,0
3349,0
3352,0
3361,0
3365,0
3366,0
3370,0
3372,0
3375,0
3386,0
3388,0
3392,0
3398,0
3402,0
3403,0
3407,0
3408,0
3410,0
3412,0
3414,0
3425,0
3426,0
3431,0
3435,0
3447,0
3450,0
3483,0
3488,0
3492,0
3494,0
3499,0
3509,0
3516,0
3523,0
3524,0
3525,0
3536,0
3547,0
3548,0
3551,0
3557,0
3559,0
3560,0
3563,0
3573,0
3575,0
3580,0
3583,0
3585,0
3599,0
3604,0
3606,0
3607,0
3611,0
3613,0
3618,0
3622,0
3625,0
3628,0
3630,0
3634,0
3650,0
3651,0
3655,0
3656,0
3659,0
3661,0
3667,1
3671,1
3674,1
3680,1
3682,1
3688,0
3690,0
3691,0
3699,0
3700,0
3704,0
3705,0
3707,0
3711,1
3718,1
3721,0
3732,0
3740,0
3752,0
3758,0
3759,0
3761,0
3764,0
3767,0
3770,0
3785,0
3789,0
3790,0
3792,0
3793,0
3796,0
3800,0
3802,0
3805,0
3807,0
3808,0
3809,1
3817,1
3820,1
3822,1
3825,1
3829,0
3830,1
3831,0
3836,0
3841,0
3842,0
3844,0
3855,1
3858,1
3864,1
3866,1
3871,1
3878,1
3891,0
3893,0
3896,0
3903,0
3904,0
3914,0
3916,0
3917,0
3931,1
3935,1
3938,1
3940,1
3941,1
3947,1
3949,1
3954,1
3956,1
3958,1
3961,1
3964,1
3966,1
3977,0
3979,0
3992,0
3996,1
4006,1
4012,1
4013,1
4017,1
4020,1
4022,1
4025,1
4028,1
4034,1
4039,1
4055,1
4063,1
4072,1
4077,1
4081,1
4088,1
4093,1
