sample_id,probability
1,0
2,0
7,1
10,1
11,1
13,1
20,0
21,0
22,1
27,0
28,0
35,1
36,1
38,0
40,1
42,1
46,1
53,0
60,0
72,0
74,0
78,1
89,0
97,0
105,1
128,0
129,0
140,0
145,0
147,0
148,1
153,1
158,1
162,1
163,1
165,1
171,1
186,0
204,0
207,0
213,0
215,0
226,0
236,1
237,1
243,0
244,0
250,0
261,0
269,1
271,1
273,1
275,1
277,1
281,0
282,0
284,0
294,0
306,1
310,1
311,1
313,1
316,1
317,1
329,0
338,0
340,0
343,1
352,1
359,1
361,1
363,1
365,1
369,1
370,1
372,1
374,0
377,1
390,1
392,1
394,1
398,1
399,1
400,1
403,1
405,1
406,1
407,1
409,1
424,0
427,0
431,1
440,0
441,1
444,0
448,0
454,1
456,1
458,1
460,1
464,1
475,1
481,0
482,0
514,0
515,0
519,0
520,1
521,1
522,1
526,1
529,1
541,0
542,1
545,0
546,1
552,0
556,0
560,0
571,0
572,0
575,0
581,0
583,0
588,0
590,0
591,0
593,0
597,0
609,0
610,0
614,1
619,0
628,0
629,0
630,0
631,1
632,0
634,0
649,0
651,0
661,0
685,0
686,0
689,0
692,0
697,0
702,0
703,0
704,0
707,0
714,0
715,0
726,1
735,1
738,1
749,1
750,1
754,1
762,0
767,0
772,0
778,0
780,0
781,0
788,1
791,0
792,1
795,1
806,0
813,0
819,0
821,0
824,1
826,1
836,0
840,0
845,0
849,0
850,1
855,0
867,1
874,0
875,0
882,0
884,0
885,0
886,0
891,0
892,1
900,1
902,1
905,1
906,1
913,1
916,0
917,1
920,1
933,0
934,0
935,0
936,0
938,0
939,0
955,0
961,0
962,0
963,0
968,0
974,0
983,0
986,0
987,0
988,0
1000,0
1004,1
1007,1
1008,1
1011,1
1013,1
1014,1
1019,0
1026,0
1031,0
1035,1
1037,0
1040,0
1043,0
1048,0
1050,0
1058,0
1067,0
1072,0
1080,1
1091,1
1098,1
1100,1
1107,0
1124,0
1125,0
1131,1
1132,1
1133,1
1136,1
1165,1
1171,1
1177,1
1179,1
1182,1
1190,1
1198,1
1206,0
1208,1
1229,1
1232,1
1239,1
1240,1
1241,1
1245,1
1246,1
1247,1
1249,1
1262,1
1265,1
1266,1
1269,1
