sample_id,probability
1,0.026663752
2,0.043742217
7,0.59591246
10,0.9407778
11,0.97220683
13,0.9762849
20,0.0061217514
21,0.011712484
22,0.44738993
27,0.01718662
28,0.007327178
35,0.9843055
36,0.9507666
38,0.14049938
40,0.97647345
42,0.92513406
46,0.95339555
53,0.01509113
60,0.7935138
72,0.043006185
74,0.41871253
78,0.9378243
89,0.2203417
97,0.66151863
105,0.9497199
128,0.020045882
129,0.0129285995
140,0.045255754
145,0.094869904
147,0.41192353
148,0.50027645
153,0.98096585
158,0.96969295
162,0.9844164
163,0.98186857
165,0.9689682
171,0.9786346
186,0.25543603
204,0.016470522
207,0.0046816445
213,0.017901905
215,0.0144133745
226,0.89973325
236,0.96582884
237,0.9408631
243,0.20874374
244,0.0652547
250,0.14759426
261,0.4608892
269,0.99423695
271,0.9904952
273,0.98750174
275,0.991343
277,0.99355984
281,0.07428775
282,0.08007819
284,0.07972912
294,0.034820873
306,0.9322685
310,0.9783981
311,0.95905185
313,0.98946613
316,0.85767496
317,0.9546386
329,0.11353217
338,0.041808978
340,0.22771141
343,0.114955865
352,0.8616004
359,0.9862665
361,0.98584276
363,0.98286575
365,0.94029933
369,0.9542696
370,0.83596313
372,0.91998243
374,0.5485873
377,0.99045134
390,0.97791046
392,0.9036196
394,0.98149294
398,0.99181575
399,0.9790213
400,0.9912521
403,0.98133665
405,0.9825905
406,0.9621148
407,0.97361165
409,0.95503044
424,0.03846639
427,0.02941156
431,0.9672263
440,0.77943313
441,0.96458113
444,0.7080252
448,0.529832
454,0.8913786
456,0.90892327
458,0.9919361
460,0.99442446
464,0.9737289
475,0.9525871
481,0.80263615
482,0.93529934
514,0.036369227
515,0.015661143
519,0.015260434
520,0.89653903
521,0.7083007
522,0.84791297
526,0.750829
529,0.8480474
541,0.14796332
542,0.7789626
545,0.058212467
546,0.6433962
552,0.014824327
556,0.008372531
560,0.00627698
571,0.009529518
572,0.010066734
575,0.005649013
581,0.0058477153
583,0.008393647
588,0.037825815
590,0.021939453
591,0.01964489
593,0.073136
597,0.010801561
609,0.016896876
610,0.66303724
614,0.74834496
619,0.32296568
628,0.033874825
629,0.08560033
630,0.0413339
631,0.03415245
632,0.050603
634,0.010003961
649,0.0077168616
651,0.0033970429
661,0.0069393083
685,0.24270359
686,0.019094791
689,0.01693223
692,0.023742002
697,0.0071695
702,0.014583737
703,0.015956756
704,0.019992376
707,0.052507747
714,0.073890254
715,0.009643379
726,0.3960985
735,0.9806338
738,0.9682606
749,0.9783926
750,0.9671349
754,0.9774858
762,0.0639244
767,0.025749214
772,0.010247828
778,0.1495703
780,0.031179175
781,0.037748016
788,0.9435661
791,0.08341955
792,0.9747645
795,0.9624768
806,0.010248549
813,0.019156836
819,0.60169524
821,0.328843
824,0.2811985
826,0.7363688
836,0.1213
840,0.0401486
845,0.061707463
849,0.10741189
850,0.6223013
855,0.29246414
867,0.59829754
874,0.05158265
875,0.20642929
882,0.07203172
884,0.2696127
885,0.0697304
886,0.10095331
891,0.107116416
892,0.9753856
900,0.9419579
902,0.9423241
905,0.92524856
906,0.9772948
913,0.87828666
916,0.40032938
917,0.7363783
920,0.63062006
933,0.2809766
934,0.19024695
935,0.17487517
936,0.11403991
938,0.053121515
939,0.031667233
955,0.09996172
961,0.018857129
962,0.014672815
963,0.028233336
968,0.030735256
974,0.026075236
983,0.019958831
986,0.021664515
987,0.035554517
988,0.038556248
1000,0.036524795
1004,0.9712285
1007,0.955328
1008,0.9726271
1011,0.97750574
1013,0.9826984
1014,0.98338056
1019,0.031458236
1026,0.04130943
1031,0.22836043
1035,0.9186238
1037,0.035506323
1040,0.25978735
1043,0.13902481
1048,0.15637663
1050,0.13401997
1058,0.07803353
1067,0.11916605
1072,0.23946154
1080,0.93378884
1091,0.6373215
1098,0.9843593
1100,0.96338683
1107,0.318078
1124,0.0374651
1125,0.039798215
1131,0.33304206
1132,0.68883103
1133,0.7441688
1136,0.79854345
1165,0.995678
1171,0.9980236
1177,0.9981389
1179,0.998161
1182,0.9982698
1190,0.9457563
1198,0.5865317
1206,0.82832474
1208,0.9147296
1229,0.69438714
1232,0.99550545
1239,0.99192274
1240,0.9929287
1241,0.9926926
1245,0.98869437
1246,0.99445206
1247,0.98870254
1249,0.9922701
1262,0.9880172
1265,0.9661124
1266,0.9852557
1269,0.96714705
1273,0.989958
1274,0.92760205
1280,0.47372156
1283,0.16050643
1284,0.086188145
1285,0.40494215
1286,0.29843825
1290,0.21257146
1301,0.9221228
1304,0.9385265
1307,0.9303685
1316,0.95456725
1326,0.9066074
1327,0.9839819
1333,0.7133327
1341,0.69882107
1343,0.46404737
1347,0.9030082
1355,0.8870416
1364,0.07522021
1367,0.06736924
1368,0.041764185
1376,0.8728553
1380,0.98303413
1382,0.9767248
1386,0.96262026
1387,0.9720876
1389,0.9779239
1390,0.9641966
1394,0.9721347
1403,0.03868723
1404,0.011445169
1408,0.6099185
1418,0.6383656
1422,0.9355001
1428,0.87181777
1431,0.13149107
1435,0.02218155
1439,0.62194496
1440,0.33709583
1441,0.1510749
1442,0.5174309
1449,0.24862027
1453,0.14382455
1458,0.05436561
1459,0.06362088
1462,0.028822761
1463,0.07864014
1466,0.13655967
1475,0.1943976
1486,0.93545026
1494,0.9061609
1508,0.20617345
1517,0.91927403
1518,0.93216646
1521,0.95307803
1523,0.8250903
1524,0.9012458
1525,0.9033553
1537,0.12157925
1546,0.6333313
1547,0.454437
1549,0.51131153
1560,0.084189035
1567,0.044491895
1576,0.22481354
1577,0.093244925
1579,0.18257481
1584,0.15733169
1591,0.09203231
1596,0.11067136
1601,0.6740773
1607,0.49907348
1613,0.9664568
1622,0.60388297
1624,0.019108372
1637,0.9395934
1638,0.7160765
1640,0.9393383
1641,0.965511
1651,0.9532408
1653,0.5609381
1655,0.051966116
1660,0.023855764
1667,0.21884635
1674,0.30472776
1681,0.018799704
1689,0.030480852
1690,0.07180919
1692,0.027159037
