sample_id,probability
3,1
4,1
5,0
9,1
16,0
34,1
54,1
55,0
64,1
66,0
77,1
94,1
98,1
114,1
116,1
117,1
119,0
125,1
126,0
127,1
130,0
133,0
137,0
143,0
146,0
154,0
160,1
161,1
164,1
189,1
190,1
197,1
200,1
201,1
202,1
206,0
223,0
224,0
225,0
232,1
235,1
241,1
242,1
249,1
253,0
255,0
260,0
262,0
280,1
285,1
301,1
302,1
320,0
327,1
335,1
337,1
341,1
345,1
357,1
362,1
364,1
375,0
379,1
384,0
385,0
388,0
391,1
395,1
404,1
412,0
417,1
419,0
455,1
466,1
467,1
470,1
474,0
477,1
488,1
492,1
499,0
502,1
504,1
510,0
512,1
513,0
523,0
524,0
525,1
536,1
537,1
539,1
559,0
562,1
563,1
569,1
574,1
580,1
595,1
600,1
603,1
606,0
608,1
616,0
623,0
635,0
638,0
645,0
646,0
659,0
663,0
666,0
667,0
671,0
673,0
675,0
688,1
698,0
699,0
709,0
713,0
716,0
717,0
722,0
723,0
728,0
732,0
740,0
753,0
760,0
766,0
768,0
769,0
770,0
774,0
775,0
784,1
793,0
797,1
804,1
814,1
815,1
822,1
823,1
825,1
827,1
830,0
832,1
846,1
851,0
853,0
854,0
860,1
863,1
870,1
872,0
876,0
878,0
894,0
895,0
899,0
901,0
914,0
918,0
919,0
922,0
924,0
928,0
943,0
946,0
950,0
951,0
953,0
954,0
956,0
959,0
966,1
971,1
975,1
980,1
984,1
989,0
991,1
992,1
995,0
1012,0
1015,0
1016,0
1021,0
1028,0
1045,0
1059,0
1060,0
1062,0
1063,0
1065,0
1066,0
1069,0
1076,1
1077,1
1081,1
1082,1
1118,0
1120,0
1122,1
1139,0
1141,0
1145,0
1147,1
1148,1
1150,1
1154,0
1155,0
1156,0
1160,0
1166,1
1167,1
1169,1
1184,1
1191,0
1202,0
1205,1
1214,1
1217,0
1218,1
1243,1
1248,1
1250,0
1252,1
1254,1
1256,1
1267,1
1275,0
1276,1
1282,1
1291,1
1296,1
1300,0
1306,1
1308,1
1311,1
1312,1
1314,1
1318,1
1324,1
1329,1
1331,1
1332,1
1342,1
1348,1
1353,1
1358,0
1363,1
1365,1
1369,1
1384,1
1388,0
1396,1
1409,1
1445,0
1460,0
1470,0
1478,1
1481,1
1484,1
1493,0
1495,0
1500,0
1516,1
1527,0
1528,0
1529,0
1531,0
1540,0
1542,0
1555,0
1568,0
1570,0
1571,0
1573,0
1574,0
1581,1
1585,1
1597,0
1603,0
1604,0
1605,0
1619,1
1625,1
1631,0
1633,0
1635,0
1636,0
1639,0
1645,1
1646,1
1648,0
1663,0
1664,0
1668,0
1673,1
1678,1
1679,1
1680,0
1682,1
1685,0
1686,0
1687,1
1693,0
1696,1
1707,1
1715,0
1719,1
1722,0
1724,0
1733,1
1734,1
1753,0
1757,0
1759,0
1761,1
1792,0
1794,0
1802,1
1806,1
1810,1
1816,1
1819,0
1823,0
1824,0
1827,0
1828,0
1834,0
1838,0
1841,0
1843,0
1848,1
1852,1
1853,1
1854,1
1856,1
