sample_id,probability
10,0
15,0
17,1
29,1
32,0
33,1
35,0
36,1
37,1
39,1
43,1
45,1
51,1
65,1
68,1
73,0
76,0
80,0
81,0
83,0
92,0
93,0
95,0
96,0
103,0
106,1
107,1
108,1
110,1
111,1
113,0
114,1
119,0
134,0
135,0
144,0
179,1
180,1
185,1
208,0
210,0
216,0
219,1
230,1
239,1
243,0
245,1
247,0
256,1
265,1
267,1
274,1
288,0
295,0
296,0
299,1
303,1
318,0
319,1
321,1
323,1
330,1
332,1
372,1
376,0
396,0
408,0
414,0
415,0
416,0
427,0
428,0
429,1
430,0
435,1
438,0
443,0
447,0
449,0
460,0
461,1
465,0
467,0
469,0
472,1
477,0
479,0
484,1
493,1
496,1
499,1
500,1
510,1
516,1
528,1
530,1
532,1
535,0
537,1
543,1
549,0
553,1
558,0
559,1
562,1
565,0
567,1
573,1
576,1
577,0
582,1
591,1
594,1
598,0
606,0
611,1
613,0
620,0
623,0
636,0
642,0
647,0
652,1
653,1
655,0
656,0
668,1
672,1
675,1
684,0
694,0
702,0
704,0
710,0
713,0
714,0
715,0
718,0
724,0
730,0
738,0
740,0
741,0
745,0
753,0
756,0
761,1
762,1
763,1
765,1
774,1
777,1
796,1
799,1
812,0
817,0
819,0
820,1
825,0
833,0
839,0
840,1
849,1
852,1
863,1
866,0
868,1
872,1
879,1
881,1
883,1
898,0
906,0
908,0
909,0
911,0
921,0
939,1
949,1
952,0
957,0
958,0
965,0
973,0
976,0
978,0
979,0
980,0
982,1
1002,1
1018,1
1025,1
1027,1
1031,1
1041,1
1043,0
1046,1
1049,0
1052,1
1055,1
1057,1
1068,0
1076,0
1082,1
1085,1
1091,1
1110,1
1112,1
1113,1
1115,1
1118,1
1126,1
1142,1
1145,1
1146,0
1147,0
1148,1
1149,1
1155,1
1156,1
1157,1
1158,1
1160,1
1175,0
1180,0
1183,0
1187,0
1188,0
1190,0
1193,0
1194,0
1195,0
1197,0
1201,0
1215,1
1219,1
1232,1
1233,1
1237,1
1244,1
1245,1
1250,0
1255,0
1264,0
1272,1
1275,1
1277,1
1278,1
1280,0
1281,0
1282,1
1284,1
1285,1
1287,1
1291,1
1292,1
1297,1
1298,1
1314,1
1327,1
1329,1
1330,1
1332,1
1336,0
1339,1
1344,1
1345,1
1351,0
1354,1
1362,1
1369,0
1374,1
1379,1
1383,1
1399,1
1405,1
1406,1
1408,1
1413,1
1414,0
1420,1
1421,0
1423,0
1426,1
1430,1
1432,1
1434,0
1437,0
1444,0
1450,0
1451,0
1457,1
1458,0
1463,1
1471,0
1472,0
1477,0
1482,1
1483,0
1486,0
1494,1
1495,1
1498,0
1501,1
1503,0
1506,0
1509,1
1511,1
1512,0
1513,1
1523,0
1528,0
1536,0
1572,0
1578,0
1583,0
1584,1
1592,1
1594,1
1597,0
1599,0
1608,0
1610,0
1612,0
1613,0
1614,0
1621,0
1626,0
1631,0
1634,0
1642,0
1648,0
1654,0
1656,0
1660,0
1663,0
1665,0
1669,0
1670,0
1671,0
1686,0
1691,0
1692,0
1701,0
1703,0
1718,0
1723,0
1728,0
1729,0
1731,0
1741,0
1745,0
1746,0
1758,0
1775,0
1783,0
1785,1
1786,0
1791,0
1793,0
1801,0
1811,0
1821,1
1825,1
1830,1
1832,1
1835,1
1839,1
1841,1
1843,1
1845,1
1851,1
1858,0
1864,0
1878,1
1883,0
1885,0
1886,0
1890,1
1896,0
1897,0
1901,1
1904,1
1905,0
1919,0
1924,0
1926,0
1934,0
1937,0
1941,0
1943,0
1945,0
1950,0
1952,0
1955,0
1964,0
1971,0
1972,0
1975,0
1978,1
1995,1
2008,0
2015,0
2018,1
2019,0
2022,0
2029,0
2030,0
2036,0
2046,0
2055,0
2058,0
2067,0
2075,0
2091,0
2094,1
2102,1
2108,0
2109,1
2110,0
2112,0
2115,0
2142,0
2144,0
2167,1
2168,1
2185,1
2186,0
2191,0
2199,0
2205,0
2209,1
2210,0
2215,0
2218,0
2221,0
2234,0
2239,0
2245,0
2260,0
2264,0
2286,0
2287,0
2290,0
2299,0
2303,0
2304,0
2314,0
2316,0
2317,0
2318,0
2320,0
2328,1
2329,1
2331,0
2332,1
2333,0
2335,0
2337,1
2338,0
2340,0
2347,1
2354,0
2366,0
2372,0
2373,0
2375,1
2377,0
2389,1
2390,1
2391,1
2392,1
2397,1
2399,1
2400,1
2407,1
2412,1
2417,1
2422,0
2442,0
2444,0
2447,0
2449,0
2452,0
2456,0
2457,1
2459,1
2463,0
2464,1
2465,0
2470,1
2474,1
2477,0
2478,1
2481,1
2483,1
2484,0
2487,1
2499,0
2503,0
2507,0
2515,0
2516,0
2519,0
2525,0
2527,1
2528,0
2531,0
2532,0
2533,0
2536,0
2540,0
2543,0
2548,0
2549,0
2556,0
2559,1
2562,1
2564,0
2570,0
2576,0
2578,1
2582,0
2586,0
2588,0
2596,0
2611,1
2615,1
2619,0
2620,0
2625,1
2627,0
2628,1
2631,0
2633,0
2636,1
2640,1
2647,1
2648,1
2651,1
2655,1
2662,1
2664,1
2666,1
2675,1
2685,1
2688,0
2692,0
2697,1
2709,0
2727,1
2729,0
2731,0
2732,0
2733,1
2737,0
2746,0
2750,0
2753,0
2754,1
2755,0
2758,1
2759,1
2764,1
2766,1
2770,1
2777,1
2781,0
2784,0
2794,1
2796,1
2801,1
2818,1
2829,0
2837,1
2840,1
2846,1
2865,1
2867,1
2873,1
2876,1
2877,1
2885,1
2888,1
2893,0
2899,1
2901,1
2910,1
2913,1
2921,1
2922,1
2924,1
2943,0
2945,1
2952,0
2954,1
2955,1
2960,1
2963,1
2966,1
2973,1
2980,1
2981,1
2982,1
2984,1
2991,1
2992,1
2997,1
3002,1
3006,1
3012,1
3016,1
3017,1
3018,1
3026,0
3027,0
3029,1
3031,0
3032,0
3033,0
3037,0
3038,1
3045,0
3048,1
3049,0
3060,0
3065,1
3068,1
3076,1
3080,1
3082,1
3088,1
3094,1
3100,1
3102,1
3111,1
3116,0
3118,1
3126,1
3128,1
3130,1
3131,0
3132,0
3142,1
3146,1
3148,0
3160,0
3166,0
3181,1
3182,0
3202,1
3206,1
3208,1
3218,1
3219,1
3231,0
3244,1
3251,0
3254,0
3265,0
3270,1
3275,1
3283,1
3297,0
3305,0
3307,0
3312,1
3319,1
3322,0
3334,0
3336,0
3337,1
3338,1
3344,0
3350,1
3351,0
3352,0
3353,0
3355,0
3371,0
3375,1
3378,1
3386,0
3388,0
3397,0
3399,0
3404,1
3405,0
3409,0
3413,0
3418,1
3422,1
3424,0
3428,1
3437,1
3448,0
3460,0
3463,0
3465,1
3467,0
3469,1
3470,0
3473,0
3474,1
3478,1
3480,0
3487,0
3488,1
3492,0
3495,0
3499,0
3503,1
3508,0
3514,1
3519,1
3520,1
3526,1
3527,1
3528,1
3533,1
3540,1
3542,0
3546,0
3563,0
3573,0
3574,0
3585,0
3588,0
3603,1
3611,0
3613,0
3614,1
3621,0
3634,0
3635,0
3639,0
3653,0
3660,0
3679,0
3680,0
3686,0
3691,0
3692,0
3693,1
3694,0
3702,0
3705,0
3708,0
3717,0
3724,0
3728,1
3733,1
3739,1
3746,0
3751,1
3755,1
3757,1
3772,1
3773,0
3774,0
3785,0
3790,0
3794,1
3795,1
3798,1
3804,1
3817,1
3819,1
3820,1
3822,0
3834,0
3836,0
3837,0
3838,0
3851,0
3853,1
3855,0
3858,0
3859,0
3869,0
3872,1
3873,1
3879,0
3884,0
3888,0
3891,0
3898,0
3912,0
3916,0
3921,0
3931,0
3934,1
3944,0
3954,1
3955,1
3958,0
3960,1
3963,1
3971,1
3979,1
3988,0
4001,0
4003,0
4007,0
4012,0
4019,0
4023,0
4024,0
4026,0
4030,0
4035,0
4038,0
4040,0
4047,1
4048,1
4053,1
4057,1
4062,0
4075,1
4077,1
4083,1
4087,1
4091,1
4092,0
4094,0
4096,0
4098,0
4099,1
4101,1
4102,1
4105,1
4112,0
4113,0
4118,1
4122,0
4126,1
4139,0
4165,0
4181,0
4184,0
4187,0
4190,0
4192,0
4194,0
4217,0
4219,0
4221,0
4230,0
4231,1
4233,0
4238,0
4240,0
4244,1
4250,1
4252,1
4262,0
4274,0
4281,1
4292,1
4296,1
4299,1
4302,1
4303,1
4308,1
4323,0
4325,0
4328,0
4329,1
4337,0
4339,0
4341,1
4342,0
4344,0
4348,1
4352,1
4355,0
4359,1
4365,1
4371,1
4374,1
4377,1
4382,1
4387,1
4392,1
4394,1
4397,1
4403,0
4404,1
4411,0
4412,1
4413,1
4414,1
4420,0
4441,1
4442,1
4446,1
4454,1
4457,1
4462,1
4463,1
4467,1
4477,1
4484,1
4486,1
4496,1
4503,1
4504,0
4505,0
4511,0
4513,0
4514,0
4515,0
4518,0
4520,0
4537,0
4540,1
4549,1
4562,1
4568,1
4574,1
4587,1
4590,1
4600,1
4602,1
4605,1
4606,0
4608,0
4610,0
4635,1
4638,0
4639,1
4640,1
4653,1
4659,1
4664,1
4671,0
4681,1
4682,1
4684,1
4691,1
4695,1
4696,0
4701,1
4702,1
4715,1
4716,1
4717,1
4720,1
4730,0
4738,0
4739,0
4742,0
4747,0
4750,0
4755,0
4759,0
4762,1
4764,0
4775,1
4783,1
4786,1
4793,1
4810,0
4814,0
4816,0
4817,0
4819,0
4824,0
4829,0
4830,1
4840,1
4842,1
4848,1
4851,0
4856,1
4862,1
4863,1
4866,1
4867,1
4877,0
4878,1
4889,0
4890,1
4894,1
4899,1
4900,1
4902,1
4907,1
4919,1
4921,1
4923,1
4925,1
4929,1
4947,1
4949,1
4953,1
4955,1
4962,1
4969,1
4974,0
4977,1
4985,1
4995,1
4999,0
5012,0
5013,1
5019,1
5026,1
5034,1
5040,1
5044,1
5050,1
5064,0
5066,1
5069,0
5070,1
5080,1
5081,1
5090,1
5096,1
5107,1
5112,0
5121,0
5123,0
5125,0
5129,0
5133,0
5134,0
5135,0
5137,0
5138,0
5144,0
5145,0
5146,0
5152,0
5156,0
5165,0
5168,0
5172,0
5174,0
5183,0
5194,1
5195,1
5202,1
5205,1
5206,0
5215,0
5219,1
5220,1
5221,1
5226,1
5227,1
5230,1
5239,1
5245,1
5261,0
5270,1
5277,0
5279,0
5286,0
5292,0
5298,0
5302,0
5309,0
5312,0
5318,0
5323,0
5327,0
5329,0
5331,0
5340,1
5344,0
5349,0
5350,1
5359,1
5363,1
5371,0
5372,0
5376,0
5379,0
5380,0
5382,0
5391,0
5393,0
5396,1
5397,0
5399,1
5404,0
5418,0
5422,0
5425,0
5426,0
5430,0
5434,0
5437,0
5440,0
5453,1
5459,1
5461,1
5465,1
5473,0
5483,1
5484,1
5487,1
5500,1
5503,0
5512,0
5516,0
5524,0
5526,0
5532,0
5537,0
5547,0
5550,1
5554,1
5556,1
5562,1
5563,0
5564,1
5566,0
5572,0
5582,0
5584,0
5587,0
5589,0
5595,0
5597,0
5598,0
5601,0
5608,0
5610,0
5612,1
5620,1
5623,0
5625,0
5627,1
5639,0
5640,0
5646,0
5652,0
5653,0
5657,1
5662,0
5667,0
5674,0
5678,0
5681,0
5683,0
5687,0
5689,1
5692,1
5700,1
5703,0
5707,0
5712,0
5714,1
5715,0
5716,1
5723,0
5729,0
5733,0
5743,0
5746,0
5748,0
5749,0
5756,0
5761,1
5763,1
5764,1
5766,1
5767,1
5768,1
5769,0
5773,1
5786,1
5787,1
5792,1
5799,1
5803,1
5821,1
5824,0
5826,1
5828,1
5829,1
5830,0
5843,1
5844,1
5846,0
5849,1
5852,1
5854,0
5857,0
5859,0
5861,0
5863,0
5864,0
5865,0
5868,0
5872,0
5873,0
5880,0
5883,0
5888,0
5890,0
5893,0
5899,0
5900,0
5902,0
5909,0
5910,0
5912,0
5914,0
5922,0
5928,0
5931,0
5940,0
5950,0
5952,1
5958,1
5967,0
5970,1
5980,1
5981,1
5985,1
5987,1
5992,1
5999,1
6000,1
6006,1
6011,1
6018,1
6029,0
6032,0
6061,1
6069,1
6072,1
6074,1
6077,1
6084,1
6086,1
6095,0
