sample_id,probability
12,0
20,0
26,1
28,1
30,0
34,1
48,1
56,1
57,1
58,1
64,1
66,1
69,1
87,0
91,0
100,0
104,0
118,1
120,0
122,1
132,1
151,0
156,0
164,1
171,1
172,1
175,1
178,1
198,0
209,0
211,0
212,0
220,1
222,0
223,1
227,1
228,1
229,0
231,1
233,1
237,0
240,0
246,1
250,1
252,1
253,1
261,1
266,1
272,1
283,0
292,0
300,0
305,0
308,0
312,1
319,1
324,1
328,1
332,1
334,1
337,1
343,1
344,1
347,1
350,0
354,1
355,1
356,1
363,1
366,1
368,1
378,0
393,0
397,0
400,0
401,0
402,0
403,0
418,0
421,0
432,0
433,0
437,0
444,0
445,1
452,0
453,0
456,0
460,0
462,0
463,0
470,1
471,0
478,1
480,1
490,1
494,1
495,1
498,1
501,1
506,1
507,1
509,1
513,1
515,0
519,0
520,0
524,0
527,1
534,0
540,0
544,1
546,1
547,0
548,0
550,0
551,0
555,0
561,1
564,1
579,1
585,0
588,0
595,0
603,0
604,0
616,0
617,1
618,0
622,0
625,0
626,0
639,1
641,1
643,1
648,1
654,1
664,1
665,1
672,1
677,1
678,1
681,1
682,1
693,0
701,0
705,0
706,0
709,0
711,0
712,0
722,0
723,0
731,0
734,0
737,0
739,0
743,1
748,1
752,1
754,1
755,1
759,1
766,0
773,0
779,1
786,0
787,0
790,0
792,0
797,0
798,0
803,1
809,1
810,1
813,1
815,1
818,1
821,1
826,0
834,0
835,0
837,0
838,0
841,0
842,0
843,0
847,0
848,0
858,1
865,1
871,1
873,1
877,1
880,1
885,0
888,0
889,0
893,0
901,0
904,0
912,0
915,0
934,1
938,1
940,1
942,1
945,1
947,1
964,1
983,1
994,1
996,0
997,0
998,0
1004,0
1009,1
1017,1
1020,1
1023,1
1030,1
1033,1
1038,1
1044,1
1049,1
1052,1
1055,0
1064,1
1067,0
1070,1
1074,0
1075,0
1079,0
1092,0
1095,0
1099,0
1101,1
1103,0
1108,1
1109,1
1115,0
1127,1
1128,1
1129,1
1131,0
1133,0
1144,1
1162,0
1164,0
1168,0
1172,0
1173,0
1174,1
1176,0
1181,0
1189,1
1192,1
1203,1
1204,1
1209,1
1211,1
1212,1
1220,1
1221,1
1222,1
1223,1
1231,1
1235,1
1242,1
1259,1
1263,1
1287,1
1294,1
1295,1
1298,1
1299,1
1305,1
1313,1
1314,1
1317,1
1318,1
1322,1
1334,0
1335,1
1340,0
1349,0
1352,0
1357,0
1359,1
1366,0
1375,1
1391,0
1392,0
1395,1
1397,1
1400,0
1407,0
1410,1
1412,0
1415,0
1416,0
1417,0
1419,0
1425,0
1429,0
1436,0
1438,0
1441,0
1446,0
1452,0
1462,0
1464,0
1465,0
1467,0
1468,0
1469,0
1473,0
1477,0
1480,0
1485,0
1487,1
1490,1
1502,0
1507,0
1514,0
1515,0
1527,0
1532,0
1535,0
1539,0
1541,0
1543,0
1544,0
1545,0
1550,0
1552,0
1554,0
1558,0
1559,0
1561,0
1563,0
1564,0
1565,0
1568,0
1569,0
1573,0
1582,0
1590,0
1596,0
1600,0
1601,1
1603,0
1618,0
1641,0
1649,0
1656,0
1658,0
1672,0
1675,0
