sample_id,probability
15,0
26,1
27,0
28,1
34,1
44,1
51,1
66,0
69,1
75,0
84,0
87,1
91,0
110,0
118,0
121,0
124,0
129,0
143,1
151,1
156,0
164,0
170,0
171,0
176,0
178,1
179,0
184,0
194,0
196,0
198,1
208,1
220,1
223,0
228,0
231,0
237,1
240,1
242,0
243,0
244,0
246,0
250,0
253,1
254,1
256,1
257,1
261,1
268,1
273,1
279,1
283,1
284,1
287,1
296,1
297,1
300,0
305,1
308,0
312,0
320,0
322,0
324,0
325,0
326,0
328,0
339,0
343,0
344,1
351,0
363,0
366,0
371,0
372,0
375,0
377,0
378,0
380,0
387,0
397,1
402,1
403,1
413,1
418,1
421,0
422,1
425,1
430,1
432,0
433,1
435,1
437,1
443,1
445,0
452,0
463,0
471,0
477,0
478,0
479,0
490,0
491,0
494,1
495,1
501,1
503,1
505,1
506,1
507,0
515,1
519,1
528,1
534,1
544,0
546,0
547,1
548,0
551,0
553,0
555,0
558,0
566,0
579,0
584,1
585,1
588,1
589,1
595,1
598,1
599,1
607,1
609,1
616,1
622,0
626,0
640,0
641,0
642,0
643,0
652,1
654,1
656,1
657,0
662,1
665,1
672,1
677,0
678,1
681,1
684,1
691,0
693,0
702,0
706,0
709,0
722,1
723,0
725,0
729,1
731,0
734,0
737,1
739,0
746,0
751,0
753,0
755,0
757,1
759,1
773,1
779,1
783,1
786,1
787,1
790,1
797,1
798,1
800,1
805,1
807,1
808,1
813,1
815,0
817,1
829,0
835,1
838,1
840,1
843,1
849,1
864,1
865,1
873,1
875,1
877,1
880,1
889,1
890,1
893,1
896,1
901,1
904,1
907,1
911,1
925,1
926,1
931,0
938,1
942,1
961,0
962,0
969,0
977,1
978,1
982,1
985,1
996,1
997,1
998,1
1001,1
1003,1
1004,1
1024,1
1027,1
1030,1
1032,1
1033,1
1049,1
1070,0
1073,0
1074,0
1079,0
1099,1
1101,1
1106,1
1119,0
1128,1
1129,0
1131,0
1133,1
1152,0
1158,0
1161,0
1163,0
1164,0
1168,0
1170,0
1172,0
1173,0
1174,0
1176,0
1181,0
1182,0
1187,0
1189,0
1192,0
1203,0
1204,0
1209,0
1211,0
1212,0
1215,0
1216,0
1221,0
1223,0
1225,0
1231,0
1232,0
1235,0
1243,0
1244,0
1260,0
1264,0
1268,0
1270,0
1278,0
1292,0
1299,0
1302,0
1311,0
1317,0
1321,0
1329,0
1332,0
1334,1
1335,0
1340,0
1357,1
1362,1
1366,1
1370,1
1371,0
1375,1
1384,0
1391,1
1397,0
1404,0
1407,0
1410,0
1411,0
1412,1
1420,1
1423,1
1425,1
1436,0
1443,0
1450,0
1451,0
1462,0
1464,0
1465,0
1467,0
1469,0
1471,0
1475,0
1480,1
1485,1
1490,0
1499,0
1502,0
1510,0
1514,0
1515,1
1522,1
1532,0
1534,0
1535,0
1539,0
1541,0
1545,0
1547,0
1552,0
1553,0
1564,1
1565,1
1580,1
1583,1
1587,1
1590,0
1609,1
1611,0
1620,0
1632,0
1641,0
1644,1
1652,1
1654,0
1657,0
1677,0
1680,1
1681,1
1694,1
1698,1
1706,1
1714,1
1719,1
1723,1
1725,1
1736,1
1738,1
1754,1
1755,0
1764,1
1767,1
1773,1
1781,1
1782,1
1784,0
1789,1
1797,1
1801,1
1811,1
1814,1
1820,1
1831,1
1847,1
1850,1
1858,1
1859,1
1860,1
1861,1
1867,1
1869,1
1871,1
1872,1
1876,1
1878,1
1882,0
1893,1
1894,0
1902,1
1909,1
1910,1
1912,1
1916,1
1926,1
1940,0
1944,1
1947,0
1951,0
1956,0
1966,1
1972,0
1975,0
1979,1
1985,1
1992,1
1995,1
2017,0
2022,0
2028,0
2031,1
2035,0
2037,0
2038,1
2059,0
2061,0
2076,0
2077,0
2080,1
2081,0
2084,1
2086,0
2091,0
2095,1
2099,1
2112,0
2118,0
2121,1
2123,0
2126,0
2131,0
2135,0
2146,0
2155,0
2163,0
2166,1
2170,1
2173,0
2181,1
2182,1
2194,0
2197,1
2206,1
2208,0
2209,1
2212,0
2220,1
2223,0
2226,0
2229,0
2234,0
2237,1
2241,1
2244,1
2246,1
2248,1
2253,1
2256,1
2262,1
2263,0
2266,0
2276,0
2280,0
2283,0
2284,1
2296,0
2298,0
2299,0
2300,0
2306,0
2313,1
2314,1
2321,1
2329,0
2331,1
2332,0
2338,0
2339,0
2345,0
2350,0
2354,0
2363,0
2364,1
2374,1
2379,0
2381,0
2395,0
2397,0
2402,0
2410,0
2415,0
2418,1
2429,1
2432,1
2436,1
2445,0
2446,0
2449,0
2462,0
2467,0
2476,1
2480,1
2481,1
2488,1
2499,0
2501,1
2508,0
2518,0
2521,1
2525,0
2526,0
2528,0
2532,0
2533,1
2537,0
2548,0
2549,0
2550,0
2552,0
2556,0
2562,0
2569,0
2570,0
2571,0
2572,0
2578,0
2579,0
2580,0
2598,1
2601,1
2603,1
2622,0
2623,0
2630,0
2636,0
2637,0
2639,0
2640,0
2641,0
2644,0
2646,0
2647,0
2653,0
2657,0
2663,0
2669,0
2670,0
2671,1
2682,1
2683,1
2694,1
2699,1
2705,1
2706,1
2710,0
2716,0
2721,1
2722,1
2726,1
2728,1
2729,0
2741,0
2756,0
2774,0
2776,0
2778,0
2793,0
2795,0
2799,0
2812,0
2821,0
2825,0
2829,0
2830,0
2831,0
2842,0
2843,0
2845,0
2851,0
2853,0
2857,0
2860,0
2867,1
2880,1
2881,1
2883,1
2887,1
2888,1
2893,0
2897,0
2905,0
2917,1
2918,1
2921,1
2933,1
2934,1
2936,1
2938,0
2939,1
2940,1
2941,1
2945,1
2965,1
2966,1
2971,1
2977,1
2987,1
2988,1
2997,1
2999,1
3001,1
3010,1
3018,1
3019,1
3029,0
3039,1
3044,0
3057,1
3064,1
3066,1
3076,1
3084,1
3085,1
3087,1
3089,1
3091,1
3092,0
3096,1
3102,0
3106,1
3114,0
3121,1
3122,1
3140,1
3142,1
3149,0
3150,0
3151,1
3153,0
3158,1
3159,1
3161,1
3164,1
3165,1
3172,0
3182,1
3185,1
3188,1
3189,1
3195,1
3201,0
3202,0
3205,0
3209,1
3213,1
3217,0
3235,1
3246,0
3248,1
3250,1
3256,0
3257,0
3260,0
3261,0
3268,0
3269,0
3280,1
3283,1
3296,1
3301,1
3309,1
3317,0
3322,0
3332,1
3336,1
3337,1
3338,1
3339,1
3341,1
3346,1
3350,1
3362,1
3364,1
3365,1
3367,1
3371,1
3377,1
3381,1
3382,0
3383,0
3388,1
3392,0
3395,1
3398,1
3401,1
3402,0
3407,0
3410,1
3428,1
3438,1
3443,1
3454,1
3459,1
3479,1
3480,1
3481,1
3484,1
3491,1
3494,1
3497,0
3498,0
3502,0
3503,0
3512,0
3514,0
3515,0
3518,0
3534,1
3548,1
3555,1
3557,1
3565,0
3567,1
3569,1
3575,1
3577,1
3580,0
3588,1
3589,1
3590,1
3597,1
3603,1
3605,0
3618,0
3622,0
3624,1
3625,1
3626,1
3632,1
3639,0
3653,0
3657,0
3659,1
3661,0
3662,0
3666,0
3681,0
3715,0
3720,0
3723,0
3729,0
3732,0
3733,0
3734,0
3758,1
3767,0
3768,1
3774,1
3789,0
3793,1
3795,0
3799,0
3803,0
3806,0
3809,0
3815,0
3820,0
3823,1
3829,1
